Czas lotu [s],Wysokość [m],Prędkość [m/s],Poziom baterii [%],Temperatura [°C]
0,0.1,0.53,100.0,21.4
2,2.47,1.26,99.8,21.8
4,5.13,2.03,99.6,22.2
6,7.8,2.96,99.4,22.2
8,9.95,3.8,99.2,22.6
10,12.45,6.57,99.0,23.0
12,15.32,5.83,98.7,22.9
14,17.65,5.61,98.4,23.3
16,19.91,5.5,98.1,23.5
18,22.61,5.51,97.8,23.7
20,24.91,5.23,97.5,23.7
22,25.61,5.42,97.2,23.9
24,26.4,5.49,96.9,24.2
26,26.51,5.82,96.5,24.4
28,26.93,6.61,96.2,24.5
30,27.36,7.11,95.9,24.6
32,27.27,7.18,95.6,24.7
34,27.34,7.68,95.3,24.9
36,26.71,7.72,95.0,25.0
38,26.07,7.57,94.7,25.0
40,25.99,7.69,94.4,25.4
42,24.95,7.71,94.1,25.3
44,24.31,7.09,93.8,25.3
46,23.36,7.04,93.5,25.5
48,23.0,5.8,93.2,25.5
50,22.75,6.11,92.9,25.7
52,22.29,5.65,92.6,25.8
54,22.6,5.35,92.3,25.7
56,22.61,5.32,92.0,25.9
58,23.06,4.94,91.7,25.9
60,23.53,5.45,91.5,26.0
62,24.67,5.83,91.2,26.2
64,25.0,6.41,90.9,26.0
66,25.5,6.4,90.6,26.0
68,26.52,6.74,90.3,26.1
70,26.65,7.15,90.0,26.1
72,27.32,7.7,89.7,26.2
74,27.08,7.73,89.4,26.3
76,24.73,4.95,89.0,26.4
78,22.77,4.55,88.8,26.5
80,20.6,4.01,88.7,26.4
82,18.22,3.6,88.5,26.6
84,15.89,2.93,88.3,26.4
86,13.58,2.47,88.0,26.8
88,11.07,1.96,87.9,26.6
90,8.95,1.35,87.6,26.5
92,6.73,1.03,87.5,26.5
94,4.76,0.53,87.2,26.6
96,2.34,0.0,87.0,26.6
98,0.0,0.0,86.8,26.7
